
id season_id game_number date home_team visiting_team home_goal_count visiting_goal_count periods overtime shootout status game_status venue_name venue_location attendance
151 5 54 2025-02-20T19:00:00-05:00 5 1 2 3 4 1 0 4 Final OT TD Place Ottawa, Ontario 5458
152 5 55 2025-02-22T14:00:00-05:00 5 3 3 1 3 0 0 4 Final TD Place Ottawa, Ontario 8424
153 5 56 2025-02-23T12:30:00-06:00 2 6 1 2 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 8770
154 5 58 2025-02-25T19:00:00-05:00 3 6 3 1 3 0 0 4 Final Place Bell Laval, Québec 6101
155 5 59 2025-02-26T19:00:00-05:00 5 4 5 4 4 1 0 4 Final OT TD Place Ottawa, Ontario 5005
156 5 61 2025-03-04T19:00:00-05:00 3 2 2 1 4 1 1 4 Final SO Place Bell Laval, Québec 8923
157 5 62 2025-03-05T19:00:00-05:00 1 4 5 2 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 3252
158 5 63 2025-03-06T19:00:00-05:00 6 3 4 1 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8618
159 5 66 2025-03-09T13:00:00-04:00 6 2 1 2 4 1 0 4 Final OT Coca-Cola Coliseum Toronto, ON 8510
160 5 67 2025-03-11T19:00:00-04:00 5 2 3 2 3 0 0 4 Final TD Place Ottawa, Ontario 5851
161 5 68 2025-03-12T19:00:00-04:00 4 3 3 2 4 1 0 4 Final OT Prudential Center Newark, NJ 1944
162 5 69 2025-03-15T14:00:00-04:00 5 1 2 5 3 0 0 4 Final TD Place Ottawa, Ontario 8096
163 5 71 2025-03-18T19:00:00-04:00 1 3 3 2 4 1 1 4 Final SO Tsongas Center Lowell, Massachusetts 3375
164 5 72 2025-03-19T19:00:00-04:00 6 4 2 1 3 0 0 4 Final Coca-Cola Coliseum Toronto, ON 8351
165 5 73 2025-03-22T12:00:00-04:00 4 5 2 5 3 0 0 4 Final Prudential Center Newark, NJ 4767
166 5 74 2025-03-23T12:00:00-04:00 3 6 1 2 3 0 0 4 Final Place Bell Laval, Québec 10172
167 5 75 2025-03-25T19:00:00-04:00 5 4 3 6 3 0 0 4 Final TD Place Ottawa, Ontario 5707
168 5 77 2025-03-26T19:00:00-05:00 2 3 1 4 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 6330
169 5 79 2025-03-30T12:00:00-05:00 2 6 5 2 3 0 0 4 Final Xcel Energy Center Saint Paul, Minnesota 9536
170 5 80 2025-04-01T19:00:00-04:00 3 4 0 1 3 0 0 4 Final Place Bell Laval, Québec 8798
171 5 81 2025-04-02T19:00:00-04:00 1 5 0 4 3 0 0 4 Final Tsongas Center Lowell, Massachusetts 3807
172 5 7 2024-12-06T19:00:00-05:00 5 3 1 2 3 0 0 4 Final Canadian Tire Centre Ottawa, ON 11065
173 5 22 2025-01-05T13:00:00-08:00 1 3 3 2 4 1 1 4 Final SO Climate Pledge Arena Seattle, WA 12608
174 5 25 2025-01-08T19:00:00-08:00 6 3 2 4 3 0 0 4 Final Rogers Arena Vancouver, BC 19038
175 5 28 2025-01-12T13:00:00-07:00 2 3 4 2 3 0 0 4 Final Ball Arena Denver, CO 14018
176 5 32 2025-01-19T13:00:00-05:00 3 5 2 1 3 0 0 4 Final Videotron Centre Quebec City, QC 18259
177 5 35 2025-01-25T14:00:00-05:00 6 4 4 2 3 0 0 4 Final Scotiabank Arena Toronto, Ontario 19102
178 5 50 2025-02-16T16:00:00-05:00 5 6 2 3 4 1 0 4 Final OT Rogers Place Edmonton, AB 17518
179 5 57 2025-02-23T16:00:00-05:00 4 1 2 3 4 1 0 4 Final SO KeyBank Center Buffalo, NY 8512
180 5 60 2025-03-01T14:00:00-05:00 3 1 3 2 4 1 0 4 Final OT Bell Centre Montréal, QC 17324
181 5 64 2025-03-07T19:00:00-05:00 2 5 5 0 3 0 0 4 Final Lenovo Center Raleigh, NC 10782
182 5 65 2025-03-08T14:00:00-05:00 1 3 2 3 4 1 0 4 Final OT Agganis Arena Boston, MA 5968
183 5 70 2025-03-16T19:30:00-04:00 4 2 4 1 3 0 0 4 Final Little Caesars Arena Detroit, Michigan 14288
184 5 76 2025-03-26T19:00:00-04:00 1 6 2 4 3 0 0 4 Final Agganis Arena Boston, MA 6028
185 5 78 2025-03-29T13:00:00-05:00 1 5 1 2 3 0 0 4 Final Enterprise Center St. Louis, MO 8578
186 5 82 2025-04-26T00:00:00-05:00 2 4 0 0 1 0 0 1 TBD Xcel Energy Center Saint Paul, Minnesota 0
187 5 83 2025-04-26T14:00:00-04:00 1 6 0 0 1 0 0 1 2:00 pm Tsongas Center Lowell, Massachusetts 0
188 5 84 2025-04-26T12:00:00-04:00 5 3 0 0 1 0 0 1 12:00 pm TD Place Ottawa, Ontario 0
189 5 85 2025-04-29T19:00:00-04:00 6 4 0 0 1 0 0 1 7:00 pm Coca-Cola Coliseum Toronto, ON 0
190 5 86 2025-04-28T19:00:00-04:00 3 1 0 0 1 0 0 1 7:00 pm Place Bell Laval, Québec 0
191 5 87 2025-04-30T19:00:00-04:00 5 2 0 0 1 0 0 1 7:00 pm TD Place Ottawa, Ontario 0
192 5 88 2025-05-02T00:00:00-04:00 4 3 0 0 1 0 0 1 TBD Prudential Center Newark, NJ 0
193 5 89 2025-05-03T13:00:00-04:00 1 2 0 0 1 0 0 1 1:00 pm Tsongas Center Lowell, Massachusetts 0
194 5 90 2025-05-03T12:00:00-04:00 6 5 0 0 1 0 0 1 12:00 pm Coca-Cola Coliseum Toronto, ON 0
